534  [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Neither @ContextConfiguration nor @ContextHierarchy found for test class [ru.mirea.task24.repositories.AddressesRepositoryTest], using SpringBootContextLoader
569  [Test worker] INFO  o.s.t.c.s.AbstractContextLoader – Could not detect default resource locations for test class [ru.mirea.task24.repositories.AddressesRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
572  [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils – Could not detect default configuration classes for test class [ru.mirea.task24.repositories.AddressesRepositoryTest]: AddressesRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
872  [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper – Found @SpringBootConfiguration ru.mirea.task24.Application for test class ru.mirea.task24.repositories.AddressesRepositoryTest
885  [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
941  [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@ce5a68e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@9d157ff, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2f162cc0, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5df417a7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7c041b41, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7f69d591, org.springframework.test.context.transaction.TransactionalTestExecutionListener@61078690, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1cb3ec38, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@403132fc, org.springframework.test.context.event.EventPublishingTestExecutionListener@71c5b236, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@2cab9998, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2f7a7219, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@669513d8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3a1d593e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4a8a60bc, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@361c294e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7859e786]
2279 [background-preinit] INFO  o.h.validator.internal.util.Version – HV000001: Hibernate Validator 6.2.3.Final
2320 [Test worker] INFO  r.m.t.r.AddressesRepositoryTest – Starting AddressesRepositoryTest using Java 17.0.3 on ASUSLaptop-X509DA-D509DA with PID 34480 (started by shiwarai in /media/shiwarai/YandexDisk/Учёба/Шаблоны Java/JavaPatternMirea/src/ru/mirea/task24)
2322 [Test worker] INFO  r.m.t.r.AddressesRepositoryTest – No active profile set, falling back to 1 default profile: "default"
3466 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Bootstrapping Spring Data JPA repositories in DEFAULT mode.
3725 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Finished Spring Data repository scanning in 218 ms. Found 3 JPA repository interfaces.
3899 [Test worker] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor – Replacing 'dataSource' DataSource bean with embedded version
4459 [Test worker] INFO  o.s.j.d.e.EmbeddedDatabaseFactory – Starting embedded database: url='jdbc:h2:mem:550f9128-0dfd-4168-9598-1785ecaedaf4;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
5553 [Test worker] INFO  o.h.jpa.internal.util.LogHelper – HHH000204: Processing PersistenceUnitInfo [name: default]
5780 [Test worker] INFO  org.hibernate.Version – HHH000412: Hibernate ORM core version 5.6.8.Final
6424 [Test worker] INFO  o.h.annotations.common.Version – HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
6871 [Test worker] INFO  org.hibernate.dialect.Dialect – HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
8923 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator – HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
8949 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Initialized JPA EntityManagerFactory for persistence unit 'default'
10333 [Test worker] INFO  r.m.t.r.AddressesRepositoryTest – Started AddressesRepositoryTest in 9.264 seconds (JVM running for 12.177)
10404 [Test worker] INFO  o.s.t.c.t.TransactionContext – Began transaction (1) for test context [DefaultTestContext@6e7fa4b0 testClass = AddressesRepositoryTest, testInstance = ru.mirea.task24.repositories.AddressesRepositoryTest@6c7f804c, testMethod = positiveAddressesTest@AddressesRepositoryTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@3e89f5bc testClass = AddressesRepositoryTest, locations = '{}', classes = '{class ru.mirea.task24.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.autoconfigure.orm.jpa.DataJpaTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory$DisableAutoConfigurationContextCustomizer@2bd2b28e, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@674658f7, org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizer@351584c0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@1e64070, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@2bb7bd00, [ImportsContextCustomizer@259aec72 key = [org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration, org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration, org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration, org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration, org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration, org.springframework.boot.autoconfigure.sql.init.SqlInitializationAutoConfiguration, org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration, org.springframework.boot.test.autoconfigure.jdbc.TestDatabaseAutoConfiguration, org.springframework.boot.test.autoconfigure.orm.jpa.TestEntityManagerAutoConfiguration]], org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@160ac7fb, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@13e3c1c7, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@0], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]; transaction manager [org.springframework.orm.jpa.JpaTransactionManager@409395b9]; rollback [true]
11484 [Test worker] INFO  o.s.t.c.t.TransactionContext – Rolled back transaction for test: [DefaultTestContext@6e7fa4b0 testClass = AddressesRepositoryTest, testInstance = ru.mirea.task24.repositories.AddressesRepositoryTest@6c7f804c, testMethod = positiveAddressesTest@AddressesRepositoryTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@3e89f5bc testClass = AddressesRepositoryTest, locations = '{}', classes = '{class ru.mirea.task24.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.autoconfigure.orm.jpa.DataJpaTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory$DisableAutoConfigurationContextCustomizer@2bd2b28e, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@674658f7, org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizer@351584c0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@1e64070, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@2bb7bd00, [ImportsContextCustomizer@259aec72 key = [org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration, org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration, org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration, org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration, org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration, org.springframework.boot.autoconfigure.sql.init.SqlInitializationAutoConfiguration, org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration, org.springframework.boot.test.autoconfigure.jdbc.TestDatabaseAutoConfiguration, org.springframework.boot.test.autoconfigure.orm.jpa.TestEntityManagerAutoConfiguration]], org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@160ac7fb, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@13e3c1c7, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@0], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]
11503 [Test worker] INFO  o.s.t.c.t.TransactionContext – Began transaction (1) for test context [DefaultTestContext@6e7fa4b0 testClass = AddressesRepositoryTest, testInstance = ru.mirea.task24.repositories.AddressesRepositoryTest@639cb0c8, testMethod = negativeAddressesTest@AddressesRepositoryTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@3e89f5bc testClass = AddressesRepositoryTest, locations = '{}', classes = '{class ru.mirea.task24.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.autoconfigure.orm.jpa.DataJpaTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory$DisableAutoConfigurationContextCustomizer@2bd2b28e, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@674658f7, org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizer@351584c0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@1e64070, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@2bb7bd00, [ImportsContextCustomizer@259aec72 key = [org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration, org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration, org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration, org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration, org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration, org.springframework.boot.autoconfigure.sql.init.SqlInitializationAutoConfiguration, org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration, org.springframework.boot.test.autoconfigure.jdbc.TestDatabaseAutoConfiguration, org.springframework.boot.test.autoconfigure.orm.jpa.TestEntityManagerAutoConfiguration]], org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@160ac7fb, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@13e3c1c7, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@0], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]; transaction manager [org.springframework.orm.jpa.JpaTransactionManager@409395b9]; rollback [true]
11527 [Test worker] INFO  o.s.t.c.t.TransactionContext – Rolled back transaction for test: [DefaultTestContext@6e7fa4b0 testClass = AddressesRepositoryTest, testInstance = ru.mirea.task24.repositories.AddressesRepositoryTest@639cb0c8, testMethod = negativeAddressesTest@AddressesRepositoryTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@3e89f5bc testClass = AddressesRepositoryTest, locations = '{}', classes = '{class ru.mirea.task24.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.autoconfigure.orm.jpa.DataJpaTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory$DisableAutoConfigurationContextCustomizer@2bd2b28e, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@674658f7, org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizer@351584c0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@1e64070, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@2bb7bd00, [ImportsContextCustomizer@259aec72 key = [org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration, org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration, org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration, org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration, org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration, org.springframework.boot.autoconfigure.sql.init.SqlInitializationAutoConfiguration, org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration, org.springframework.boot.test.autoconfigure.jdbc.TestDatabaseAutoConfiguration, org.springframework.boot.test.autoconfigure.orm.jpa.TestEntityManagerAutoConfiguration]], org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@160ac7fb, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@13e3c1c7, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@0], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]
12341 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Closing JPA EntityManagerFactory for persistence unit 'default'
12343 [SpringApplicationShutdownHook] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl – HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2030 [background-preinit] INFO  o.h.validator.internal.util.Version – HV000001: Hibernate Validator 6.2.3.Final
2061 [main] INFO  ru.mirea.task24.Application – Starting Application using Java 17 on ASUSLaptop-X509DA-D509DA with PID 34664 (/media/shiwarai/YandexDisk/Учёба/Шаблоны Java/JavaPatternMirea/src/ru/mirea/task24/build/classes/java/main started by shiwarai in /media/shiwarai/YandexDisk/Учёба/Шаблоны Java/JavaPatternMirea/src/ru/mirea/task24)
2067 [main] INFO  ru.mirea.task24.Application – No active profile set, falling back to 1 default profile: "default"
4107 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Bootstrapping Spring Data JPA repositories in DEFAULT mode.
4235 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Finished Spring Data repository scanning in 106 ms. Found 3 JPA repository interfaces.
7376 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat initialized with port(s): 8000 (http)
7412 [main] INFO  o.a.coyote.http11.Http11NioProtocol – Initializing ProtocolHandler ["http-nio-8000"]
7415 [main] INFO  o.a.catalina.core.StandardService – Starting service [Tomcat]
7415 [main] INFO  o.a.catalina.core.StandardEngine – Starting Servlet engine: [Apache Tomcat/9.0.62]
7902 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] – Initializing Spring embedded WebApplicationContext
7903 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext – Root WebApplicationContext: initialization completed in 5708 ms
8488 [main] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Starting...
9669 [main] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Start completed.
10224 [main] INFO  o.h.jpa.internal.util.LogHelper – HHH000204: Processing PersistenceUnitInfo [name: default]
10506 [main] INFO  org.hibernate.Version – HHH000412: Hibernate ORM core version 5.6.8.Final
11549 [main] INFO  o.h.annotations.common.Version – HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
12326 [main] INFO  org.hibernate.dialect.Dialect – HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
15313 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator – HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
15339 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Initialized JPA EntityManagerFactory for persistence unit 'default'
16686 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration – spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17874 [main] INFO  o.s.s.w.DefaultSecurityFilterChain – Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3e4636c3, org.springframework.security.web.context.SecurityContextPersistenceFilter@70b630d, org.springframework.security.web.header.HeaderWriterFilter@44ec4a38, org.springframework.security.web.authentication.logout.LogoutFilter@5186b78a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@69356aca, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2f82e3cf, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5036a286, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4866a755, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7b6b466a, org.springframework.security.web.session.SessionManagementFilter@1756a471, org.springframework.security.web.access.ExceptionTranslationFilter@3fdbb7ee, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2d1f3639]
19601 [main] INFO  o.a.coyote.http11.Http11NioProtocol – Starting ProtocolHandler ["http-nio-8000"]
19722 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat started on port(s): 8000 (http) with context path ''
19784 [main] INFO  ru.mirea.task24.Application – Started Application in 18.936 seconds (JVM running for 20.391)
38170 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Closing JPA EntityManagerFactory for persistence unit 'default'
38231 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Shutdown initiated...
38486 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Shutdown completed.
846  [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Neither @ContextConfiguration nor @ContextHierarchy found for test class [ru.mirea.task24.repositories.AddressesRepositoryTest], using SpringBootContextLoader
868  [Test worker] INFO  o.s.t.c.s.AbstractContextLoader – Could not detect default resource locations for test class [ru.mirea.task24.repositories.AddressesRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
873  [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils – Could not detect default configuration classes for test class [ru.mirea.task24.repositories.AddressesRepositoryTest]: AddressesRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
1202 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper – Found @SpringBootConfiguration ru.mirea.task24.Application for test class ru.mirea.task24.repositories.AddressesRepositoryTest
